Частотный словарь:
a: 3
about: 1
agree: 1
all: 1
almost: 1
and: 2
any: 1
big.: 1
bob: 1
bob.: 1
but: 1
cat: 1
consider: 1
consists: 1
family: 5
family.: 1
father,: 1
for: 1
him: 1
i: 2
important: 1
in: 2
is: 3
it: 1
like: 1
love: 2
member: 1
member.: 1
more: 1
most: 1
mother,: 1
my: 4
no: 1
not: 1
nothing: 1
of: 1
one: 1
our: 2
people: 1
person,: 1
pet: 1
quite: 1
say: 1
siblings: 1
tell: 1
than: 1
that: 1
that.: 1
the: 1
their: 1
them.: 1
there: 1
three: 1
to: 1
today: 1
too.: 1
we: 1
well,: 1
with: 1
world: 1
would: 3
you: 1
Самое часто встречающееся слово: family (5 раз)
